Dataset,True_Clusters,Best_Rand,Best_Rand_Run,Best_Jaccard,Best_Jaccard_Run,Best_FM,Best_FM_Run
ecoli.txt,8,0.8984363894811656,46,0.6637053597693711,46,0.8001285722779317,46
ionosphere.txt,2,0.5889295889295889,1,0.5383986928104575,0,0.733117783849851,0
iris_bezdek.txt,3,0.8737360178970918,0,0.6822787660436839,0,0.8112427991975698,0
landsat.txt,6,0.8574024117698348,7,0.4456979487575627,85,0.6204604945763899,85
letter_recognition.txt,26,0.9337368818440922,38,0.0975926621754389,93,0.17824177871955255,93
mfeat-fou.txt,10,0.9037858929464733,29,0.3604410659537253,29,0.5300843821606195,29
optdigits.txt,10,0.9568062477397797,86,0.6469192546197979,86,0.7856416293870933,86
ruspini.txt,4,1.0,1,1.0,1,1.0,1
wine.txt,3,0.9550561797752809,49,0.8743343982960596,49,0.9329869413968943,49
yeast.txt,10,0.7536837073536014,57,0.20067384103606614,54,0.33866503088193534,54
